Time [s],Packet ID,Address,Data,Read/Write,ACK/NAK
6.612737500000000,10,0x49,0x01,Read,ACK
6.612833000000000,10,0x49,0x01,Read,ACK
6.612928500000000,10,0x49,0x00,Read,ACK
6.613024500000000,10,0x49,0x04,Read,ACK
6.613120000000000,10,0x49,0x28,Read,ACK
6.613215500000000,10,0x49,0x04,Read,ACK
6.613311000000000,10,0x49,0xBD,Read,ACK
6.613407000000000,10,0x49,0x47,Read,ACK
6.613502500000000,10,0x49,0x0B,Read,ACK
6.613598000000000,10,0x49,0x9A,Read,ACK
6.613693500000000,10,0x49,0x10,Read,ACK
6.613789000000000,10,0x49,0x78,Read,ACK
6.613885000000000,10,0x49,0x80,Read,ACK
6.613980500000000,10,0x49,0x90,Read,NAK
7.638167000000000,11,0x48,0x00,Write,ACK
7.638260000000000,11,0x48,0x00,Write,ACK
7.638354500000000,11,0x48,0xFF,Write,ACK
7.638449500000000,11,0x48,0x04,Write,ACK
7.638544000000000,11,0x48,0xFC,Write,ACK
7.638639000000000,11,0x48,0xD4,Write,ACK
7.638733500000000,11,0x48,0x4A,Write,ACK
7.638828500000000,11,0x48,0x01,Write,ACK
7.638923000000000,11,0x48,0x00,Write,ACK
7.639018000000000,11,0x48,0xE1,Write,ACK
7.639112500000000,11,0x48,0x00,Write,ACK
7.651364500000000,12,0x49,0x01,Read,ACK
7.651460000000000,12,0x49,0x00,Read,ACK
7.651555500000000,12,0x49,0x00,Read,ACK
7.651651500000000,12,0x49,0xFF,Read,ACK
7.651747000000000,12,0x49,0x00,Read,ACK
7.651842500000000,12,0x49,0xFF,Read,ACK
7.651938000000000,12,0x49,0x00,Read,ACK
7.652033500000000,12,0x49,0x4A,Read,NAK
7.880756500000000,13,0x49,0x01,Read,ACK
7.880852000000000,13,0x49,0x00,Read,ACK
7.880947500000000,13,0x49,0x00,Read,ACK
7.881043000000000,13,0x49,0xFF,Read,ACK
7.881139000000000,13,0x49,0x0C,Read,ACK
7.881234500000000,13,0x49,0xF4,Read,ACK
7.881330000000000,13,0x49,0xD5,Read,ACK
7.881425500000000,13,0x49,0x4B,Read,ACK
7.881521000000000,13,0x49,0x01,Read,ACK
7.881617000000000,13,0x49,0x01,Read,ACK
7.881712500000000,13,0x49,0x00,Read,ACK
7.881808000000000,13,0x49,0x04,Read,ACK
7.881903500000000,13,0x49,0x08,Read,ACK
7.881999500000000,13,0x49,0x04,Read,ACK
7.882095000000000,13,0x49,0x70,Read,ACK
7.882190500000000,13,0x49,0x20,Read,ACK
7.882286000000000,13,0x49,0xCE,Read,ACK
7.882381500000000,13,0x49,0x95,Read,ACK
7.882477500000000,13,0x49,0xDB,Read,ACK
7.882573000000000,13,0x49,0x00,Read,ACK
7.882668500000000,13,0x49,0x80,Read,ACK
7.882764000000000,13,0x49,0x90,Read,NAK
8.907012999999999,14,0x48,0x00,Write,ACK
8.907106000000001,14,0x48,0x00,Write,ACK
8.907200500000000,14,0x48,0xFF,Write,ACK
8.907295500000000,14,0x48,0x04,Write,ACK
8.907389999999999,14,0x48,0xFC,Write,ACK
8.907484999999999,14,0x48,0xD4,Write,ACK
8.907579500000001,14,0x48,0x4A,Write,ACK
8.907674500000001,14,0x48,0x01,Write,ACK
8.907769000000000,14,0x48,0x00,Write,ACK
8.907864000000000,14,0x48,0xE1,Write,ACK
8.907958499999999,14,0x48,0x00,Write,ACK
8.920210500000000,15,0x49,0x01,Read,ACK
8.920306000000000,15,0x49,0x00,Read,ACK
8.920401500000001,15,0x49,0x00,Read,ACK
8.920497500000000,15,0x49,0xFF,Read,ACK
8.920593000000000,15,0x49,0x00,Read,ACK
8.920688500000001,15,0x49,0xFF,Read,ACK
8.920783999999999,15,0x49,0x00,Read,ACK
8.920879500000000,15,0x49,0x4A,Read,NAK
8.949232000000000,16,0x49,0x01,Read,ACK
8.949327500000001,16,0x49,0x00,Read,ACK
8.949423500000000,16,0x49,0x00,Read,ACK
8.949519000000000,16,0x49,0xFF,Read,ACK
8.949614499999999,16,0x49,0x0C,Read,ACK
8.949710000000000,16,0x49,0xF4,Read,ACK
8.949805500000000,16,0x49,0xD5,Read,ACK
8.949901499999999,16,0x49,0x4B,Read,ACK
8.949997000000000,16,0x49,0x01,Read,ACK
8.950092500000000,16,0x49,0x01,Read,ACK
8.950188000000001,16,0x49,0x00,Read,ACK
8.950284000000000,16,0x49,0x04,Read,ACK
8.950379500000000,16,0x49,0x08,Read,ACK
8.950475000000001,16,0x49,0x04,Read,ACK
8.950570500000000,16,0x49,0x70,Read,ACK
8.950666000000000,16,0x49,0x20,Read,ACK
8.950761999999999,16,0x49,0xCE,Read,ACK
8.950857500000000,16,0x49,0x95,Read,ACK
8.950953000000000,16,0x49,0xDB,Read,ACK
8.951048500000001,16,0x49,0x00,Read,ACK
8.951144500000000,16,0x49,0x80,Read,ACK
8.951240000000000,16,0x49,0x90,Read,NAK
9.975488000000000,17,0x48,0x00,Write,ACK
9.975581000000000,17,0x48,0x00,Write,ACK
9.975675499999999,17,0x48,0xFF,Write,ACK
9.975770499999999,17,0x48,0x04,Write,ACK
9.975865000000001,17,0x48,0xFC,Write,ACK
9.975960000000001,17,0x48,0xD4,Write,ACK
9.976054500000000,17,0x48,0x4A,Write,ACK
9.976149500000000,17,0x48,0x01,Write,ACK
9.976243999999999,17,0x48,0x00,Write,ACK
9.976338999999999,17,0x48,0xE1,Write,ACK
9.976433500000001,17,0x48,0x00,Write,ACK
9.988685500000001,18,0x49,0x01,Read,ACK
9.988780999999999,18,0x49,0x00,Read,ACK
9.988876500000000,18,0x49,0x00,Read,ACK
9.988972499999999,18,0x49,0xFF,Read,ACK
9.989068000000000,18,0x49,0x00,Read,ACK
9.989163500000000,18,0x49,0xFF,Read,ACK
9.989259000000001,18,0x49,0x00,Read,ACK
9.989354499999999,18,0x49,0x4A,Read,NAK
